YEAR,CostType,VALUE
2030,CAP,3376.2079421575145
2031,CAP,3750.269931548753
2032,CAP,3126.461561616995
2033,CAP,1612.0904482727146
2034,CAP,1186.853373866864
2035,CAP,788.3451931054246
2036,CAP,1399.088220864785
2037,CAP,1402.8746615664375
2038,CAP,1673.8829698381087
2039,CAP,1731.2613051087944
2040,CAP,1752.3436616538334
2041,CAP,2338.3561660566943
2042,CAP,2331.084509007016
2043,CAP,2354.838120083018
2044,CAP,2309.29206632334
2045,CAP,2523.1024755806975
2046,CAP,2570.4230940885795
2047,CAP,2571.287057364147
2048,CAP,2632.110866575087
2049,CAP,3008.3914970921514
2050,CAP,3139.4745756087696
2051,CAP,2907.781655942865
2052,CAP,2047.4671458264572
2053,CAP,2041.654158869085
2054,CAP,2515.4904262146197
2055,CAP,3182.96610164522
2026,CAP,2850.804224281372
2025,CAP,9395.317935550815
2027,CAP,360.7954826880738
2021,CAP,1942.9663313632814
2023,CAP,407.2980575360636
2022,CAP,1720.9257560755877
2024,CAP,1047.1904292714314
2029,CAP,3144.3770163744957
2028,CAP,100.23585876435513
2021,FIX,509.0391180272657
2022,FIX,537.4278995487775
2023,FIX,541.9566956994983
2024,FIX,557.7681342849277
2025,FIX,773.7991314311503
2026,FIX,834.8140003851042
2027,FIX,839.2737743104947
2028,FIX,836.7940498732148
2029,FIX,884.2449662100985
2030,FIX,930.4617328892043
2031,FIX,985.7977273212529
2032,FIX,1031.4493307677483
2033,FIX,1053.4870131209523
2034,FIX,1068.8351148719066
2035,FIX,1078.46801933266
2036,FIX,1097.7452325158183
2037,FIX,1117.100055622793
2038,FIX,1140.643576583688
2039,FIX,1164.8035233406063
2040,FIX,1189.470887205224
2041,FIX,1232.8284494363504
2042,FIX,1276.693574414137
2043,FIX,1320.4569558484377
2044,FIX,1363.113708020255
2045,FIX,1407.096815657159
2046,FIX,1339.6585517742649
2047,FIX,1387.6257324149333
2048,FIX,1438.2287204423485
2049,FIX,1497.3771660601005
2050,FIX,1555.794995621386
2051,FIX,1617.7037694423104
2052,FIX,1657.4175017234415
2053,FIX,1697.152712105661
2054,FIX,1736.9303804921135
2055,FIX,1596.4555836670863
