YEAR,CostType,VALUE
2029,CAP,3167.3604281728653
2030,CAP,3374.79839929417
2031,CAP,3760.274261324097
2032,CAP,3123.4074024465544
2033,CAP,1608.5924900680156
2034,CAP,1188.0173183142638
2035,CAP,677.3479200388763
2036,CAP,1402.7160594414468
2037,CAP,1400.3103902657842
2038,CAP,1675.9928423767237
2039,CAP,1731.587911920408
2040,CAP,1760.751105935633
2041,CAP,2338.093466485112
2042,CAP,2326.808758464323
2043,CAP,2352.700848109754
2044,CAP,2310.5270792018728
2045,CAP,2503.941737890097
2046,CAP,2571.399125332751
2047,CAP,2571.702261861544
2048,CAP,2565.9993287080742
2049,CAP,3006.235637232803
2050,CAP,3115.6475798476176
2051,CAP,2907.5429501048366
2052,CAP,2185.7108695342
2053,CAP,2047.8670414649653
2054,CAP,2551.650920840733
2055,CAP,3168.945846155582
2026,CAP,2851.3512912760575
2025,CAP,9346.063720378985
2027,CAP,456.5638814242362
2021,CAP,1942.9663313632814
2023,CAP,407.55463387786233
2022,CAP,1720.9257560755877
2024,CAP,1048.4228256217289
2028,CAP,149.71100410625596
2021,FIX,509.0391180272657
2022,FIX,537.4278995487775
2023,FIX,541.9618272263343
2024,FIX,557.7979137387696
2025,FIX,773.0516882345282
2026,FIX,834.1082118986843
2027,FIX,840.0312204165105
2028,FIX,838.3461517108019
2029,FIX,886.0293835495784
2030,FIX,932.1232504177651
2031,FIX,987.6433742195326
2032,FIX,1033.2193002503943
2033,FIX,1055.1905672015685
2034,FIX,1070.5479025109917
2035,FIX,1078.4439905261684
2036,FIX,1097.7937888167644
2037,FIX,1117.0973567949823
2038,FIX,1140.683067439133
2039,FIX,1164.8495137118027
2040,FIX,1189.685050203922
2041,FIX,1233.0373742317834
2042,FIX,1276.8169863781804
2043,FIX,1320.5376163150409
2044,FIX,1363.2190783396918
2045,FIX,1406.7498853586876
2046,FIX,1339.3364430149925
2047,FIX,1387.317355705153
2048,FIX,1436.3347708508256
2049,FIX,1495.4676979946516
2050,FIX,1553.931143760662
2051,FIX,1615.8351513856542
2052,FIX,1657.4480543673528
2053,FIX,1697.186603781738
2054,FIX,1736.9743484679282
2055,FIX,1596.2191532933082
