YEAR,CostType,VALUE
2029,CAP,3020.3484041995594
2030,CAP,3374.9644080881153
2031,CAP,3751.287234874951
2032,CAP,3127.315546415103
2033,CAP,1433.111664393744
2034,CAP,1187.7802850043897
2035,CAP,718.6709317182605
2036,CAP,1401.9565344066677
2037,CAP,1408.7598409639759
2038,CAP,1672.340040655332
2039,CAP,1730.6797712682949
2040,CAP,1766.4875693360216
2041,CAP,2334.2371754842898
2042,CAP,2327.4213897470363
2043,CAP,2356.0364890410774
2044,CAP,2309.1414918951323
2045,CAP,2504.027203379837
2046,CAP,2510.560596783213
2047,CAP,2585.5162394538643
2048,CAP,2672.801553225693
2049,CAP,3011.661046212388
2050,CAP,3239.658616587474
2051,CAP,2960.002380077971
2052,CAP,2121.0541642285143
2053,CAP,2055.397826862638
2054,CAP,2462.9819036947065
2055,CAP,3155.507031312306
2024,CAP,1048.5714886955034
2025,CAP,4590.684462541794
2021,CAP,1942.9663313632814
2023,CAP,407.55463387786233
2022,CAP,1720.9257560755877
2026,CAP,1263.831415519305
2028,CAP,160.32313645955304
2027,CAP,220.06417034313478
2021,FIX,509.0391180272657
2022,FIX,537.4278995487775
2023,FIX,541.9618272263343
2024,FIX,557.801817679842
2025,FIX,644.7984995318218
2026,FIX,662.6822850804265
2027,FIX,662.4718167227786
2028,FIX,661.338488453212
2029,FIX,707.1905055222171
2030,FIX,753.7563532935663
2031,FIX,809.3651160511077
2032,FIX,855.2892637555036
2033,FIX,874.8120422654805
2034,FIX,890.4557550630034
2035,FIX,899.2846841832995
2036,FIX,918.9051845388385
2037,FIX,938.6637154104674
2038,FIX,962.4622879852305
2039,FIX,986.8964742759885
2040,FIX,1012.1326671938454
2041,FIX,1055.6937530385624
2042,FIX,1099.7715126988226
2043,FIX,1143.8733851297643
2044,FIX,1186.8130406649952
2045,FIX,1230.631458930333
2046,FIX,1162.0540298816907
2047,FIX,1210.688321830819
2048,FIX,1262.62775599014
2049,FIX,1322.1275012348435
2050,FIX,1381.1013420169015
2051,FIX,1442.8664611850124
2052,FIX,1482.7547161894822
2053,FIX,1522.7117764975374
2054,FIX,1562.5179034195128
2055,FIX,1546.7799915412663
